start_date;maxtemperature;maxrh;meantemperature;meanrh;mintemperature;minrh;location
10/10/2021;20,365;86,40136719;17,35033333;75,0406901;15,247;62,37792969;2
11/10/2021;22,202;89,20898438;16,75566667;73,73046875;12,413;53,02734375;2
12/10/2021;20,674;90,67382813;15,932;81,86848958;11,589;70,5078125;2
13/10/2021;21,652;88,11035156;17,03766667;59,88769531;13,642;38,35449219;2
14/10/2021;19,722;87,86621094;15,18433333;71,26464844;11,589;54,61425781;2
15/10/2021;22,609;94,28710938;18,14533333;85,65266927;14,745;72,36328125;2
16/10/2021;19,936;93,48144531;17,143;78,84114583;14,601;64,94140625;2
17/10/2021;19,793;94,65332031;16,36933333;87,20703125;13,329;75,12207031;2
18/10/2021;21,748;94,31152344;17,922;88,28125;15,055;79,95605469;2
19/10/2021;23,328;92,84667969;19,61433333;84,39127604;15,079;74,43847656;2
20/10/2021;22,513;87,109375;20,72366667;79,4514974;19,603;72,70507813;2
21/10/2021;20,531;84,375;17,57233333;76,24511719;15,461;63,15917969;2
22/10/2021;19,888;80,078125;16,12366667;72,77832031;13,978;60,59570313;2
23/10/2021;17,867;87,109375;13,888;64,42057292;10,516;52,34375;2
24/10/2021;20,96;87,98828125;16,18433333;73,56770833;11,273;63,28125;2
25/10/2021;19,46;89,01367188;15,61233333;83,61816406;12,896;76,26953125;2
26/10/2021;20,889;93,5546875;15,85233333;81,22558594;11,637;64,11132813;2
27/10/2021;19,555;83,10546875;15,37966667;75,87890625;12,534;68,31054688;2
28/10/2021;19,77;88,4765625;15,25933333;79,58170573;12,871;67,72460938;2
29/10/2021;20,031;93,75;16,80933333;88,85904948;12,268;82,91015625;2
30/10/2021;19,555;100;18,057;99,6500651;17,272;98,95019531;2
31/10/2021;21,7;100;18,08033333;93,9046224;14,864;81,71386719;2
01/11/2021;18,295;100;16,10866667;90,8203125;13,425;79,61425781;2
02/11/2021;16,892;91,08886719;13,65833333;72,42838542;9,386;57,93457031;2
03/11/2021;14,074;94,65332031;11,70133333;80,83496094;10,001;71,60644531;2
04/11/2021;14,601;87,81738281;11,42533333;75,79752604;8,817;65,67382813;2
05/11/2021;15,533;87,47558594;10,684;61,51529948;6,813;43,359375;2
06/11/2021;16,01;60,10742188;11,32833333;50,2360026;8,195;34,61914063;2
07/11/2021;17,653;70,703125;10,71533333;58,91113281;4,688;37,98828125;2
08/11/2021;17,772;74,36523438;12,43666667;61,40136719;6,763;54,76074219;2
09/11/2021;14,96;62,71972656;12,93;57,27539063;9,78;47,50976563;2
10/11/2021;13,642;97,4609375;13,28066667;85,49804688;12,606;72,14355469;2
11/11/2021;18,438;96,2890625;15,159;88,50097656;12,606;80,56640625;2
12/11/2021;16,344;82,98339844;15,23766667;78,85742188;14,385;76,70898438;2
13/11/2021;18,58;75,95214844;15,85533333;72,29003906;14,337;69,84863281;2
14/11/2021;16,344;85,7421875;13,07633333;79,23177083;10,956;71,11816406;2
15/11/2021;14,026;89,59960938;11,785;75,78938802;8,916;65,72265625;2
16/11/2021;14,314;90,99121094;11,74933333;80,11067708;10,173;70,28808594;2
17/11/2021;13,834;92,79785156;10,60266667;78,82486979;8,145;71,45996094;2
18/11/2021;15,079;90,79589844;10,22766667;82,90201823;6,763;68,53027344;2
19/11/2021;15,055;93,89648438;10,42766667;85,44921875;7,015;74,56054688;2
20/11/2021;15,676;94,53125;11,212;86,75130208;6,153;73,41308594;2
21/11/2021;16,225;95,41015625;13,037;88,02897135;11,394;81,03027344;2
22/11/2021;12,509;100;10,96;94,63704427;10,026;90,74707031;2
23/11/2021;12,799;100;11,24266667;89,07063802;9,583;82,421875;2
24/11/2021;11,467;100;10,00266667;99,47102865;8,319;98,77929688;2
25/11/2021;11,248;100;9,509333333;96,40299479;7,87;93,38378906;2
26/11/2021;13,064;94,18945313;10,07366667;80,61523438;7,895;71,75292969;2
27/11/2021;12,485;94,79980469;7,396333333;80,16764323;3,985;55,46875;2
28/11/2021;10,198;78,63769531;6,088;63,15917969;3,274;53,10058594;2
29/11/2021;12,63;77,734375;6,564666667;63,96484375;0,962;39,01367188;2
30/11/2021;12,509;93,31054688;7,698333333;83,32519531;4,662;75,04882813;2
